obo.FOODON_03414476,chíton,"Chitons are small to large marine molluscs in the class *Polyplacophora*, which formerly was known as *Amphineura*. There are approximately 940 extant and 430 fossil species recognized. These molluscs are also sometimes commonly known as sea cradles or ""coat-of-mail shells"". They are also sometimes referred to more formally as loricates, polyplacophorans, and rarely as polyplacophores. Chitons have a dorsal shell which is composed of eight separate shell plates or valves. These plates overlap somewhat at the front and back edges, and yet the plates articulate well with one another."
obo.FOODON_03414476,polyplacophora,"Chitons are small to large marine molluscs in the class *Polyplacophora*, which formerly was known as *Amphineura*. There are approximately 940 extant and 430 fossil species recognized. These molluscs are also sometimes commonly known as sea cradles or ""coat-of-mail shells"". They are also sometimes referred to more formally as loricates, polyplacophorans, and rarely as polyplacophores. Chitons have a dorsal shell which is composed of eight separate shell plates or valves. These plates overlap somewhat at the front and back edges, and yet the plates articulate well with one another."
obo.FOODON_03307503,"apricot (artificially sweetened, canned)",NONE
obo.FOODON_00001577,akee fruit food product,NONE
obo.FOODON_03301068,ham cure,NONE
obo.FOODON_03305001,meat byproduct for animal food,NONE
obo.FOODON_03302823,chocolate icing,NONE
obo.FOODON_03315590,lumpfish roe,NONE
obo.FOODON_03305664,fruit juice (canned),NONE
obo.FOODON_03301415,soy bean,A seed of a soyabean plant (Glycine max).
obo.FOODON_03301415,soybean,A seed of a soyabean plant (Glycine max).
obo.FOODON_03301415,soybean (whole),A seed of a soyabean plant (Glycine max).
obo.FOODON_03301415,soya bean,A seed of a soyabean plant (Glycine max).
obo.FOODON_03316971,malt beverage,NONE
obo.FOODON_03305360,chicken gravy mix,NONE
obo.FOODON_03308212,sockeye salmon (raw),NONE
obo.FOODON_03304631,rhubarb (canned),NONE
obo.FOODON_03308292,naked sole (raw),NONE
obo.FOODON_03411010,neogastropoda,"*Neogastropoda* is a taxonomic order of sea snails, marine gastropod mollusks. *Neogastropoda* includes many well-known gastropods including the cone snails, conchs, mud snails, olive snails, oyster drills, tulip shells, and whelks. [https://en.wikipedia.org/wiki/Neogastropoda]"
obo.FOODON_03411010,neogastropod,"*Neogastropoda* is a taxonomic order of sea snails, marine gastropod mollusks. *Neogastropoda* includes many well-known gastropods including the cone snails, conchs, mud snails, olive snails, oyster drills, tulip shells, and whelks. [https://en.wikipedia.org/wiki/Neogastropoda]"
obo.FOODON_03301624,low acid food (canned),NONE
obo.FOODON_03305661,iodized water for livestock,NONE
obo.FOODON_03302837,icing mix,NONE
obo.FOODON_03317222,lumpfish roe semi-preserved,NONE
obo.NCBITaxon_109628,broadtail shortfin squid,NONE
obo.NCBITaxon_109628,illex coindetii,NONE
obo.NCBITaxon_109628,squid,NONE
obo.NCBITaxon_109628,southern shortfin squid,NONE
obo.NCBITaxon_109628,"Illex coindetii (Verany, 1839)",NONE
obo.NCBITaxon_109628,calamari,NONE
obo.NCBITaxon_109628,Illex coindetii,NONE
obo.FOODON_03311361,fruit juice (blended),NONE
obo.FOODON_00003200,soy cream,"Soybean material ground into a thick liquid, to which gums are added to create a substance resembling real cream found in mammalian milk."
obo.FOODON_03303123,grape marc,NONE
obo.FOODON_03305337,"gravy mix (italian-style, dry)",NONE
obo.FOODON_03301744,grunt (raw),NONE
obo.FOODON_03304643,rhubarb (frozen),NONE
obo.FOODON_03309261,english sole (raw),NONE
obo.FOODON_03412114,snail,"Snail is a common name loosely applied to shelled gastropods ... members of the molluscan class *Gastropoda* that have a coiled shell that is large enough for the animal to retract completely into. Gastropods that naturally lack a shell, or have only an internal shell, are mostly called slugs, and land snails that have only a very small shell (that they cannot retract into) are often called semi-slugs. [https://en.wikipedia.org/wiki/Snail]"
obo.FOODON_00003413,sweet cherry,A drupe fruit of a sweet cherry plant (Prunus avium).
